﻿Дата,Категория,Сумма (руб.),Комментарий,Теги
16.08.2026,Ремонт,6200.00,"Замена тормозных колодок,передние и задние","Техника, Автомобиль"
07.08.2026,Образование,9500.00,Абонемент на робототехнику для школьника,Семья
05.07.2026,Развлечения,1800.00,Оплата VR-клуба на 2 часа,"Личный, Развлечение"
05.07.2026,ТО,12300.00,Замена тормозных колодок и дисков,Автомобиль
04.07.2026,Аксессуары,1400.00,Приобретение солнцезащитных очков и шарфа,Одежда
04.07.2026,Кино,2400.00,Семейный поход в кино + попкорн и напитки,"Семья, Развлечение"
03.07.2026,Ремонт,5000.00,"Замена тормозных колодок, передние и задние.",Автомобиль
03.07.2026,Фестивали,5200.00,Билеты на семейный фестиваль анимации и мастер-классов,"Семья, Развлечение"
02.07.2026,ТО,5500.00,"Тех осмотр, плановое обслуживание",Автомобиль
02.07.2026,Аксессуары,2800.00,Шапка и шарф. Комплект из шерсти,Одежда
01.07.2026,Фестивали,8000.00,Билет на фестиваль. Трёхдневный музыкальный фестиваль,Развлечение
01.07.2026,Кино,600.00,Билет в кино. Вечерний сеанс 3D,Развлечение
01.07.2026,Ремонт,15000.00,Ремонт ходовой части после поездки по грунтовке,Автомобиль
01.07.2026,Ремонт,6200.00,"Замена тормозных колодок,передние и задние",Семья
04.06.2026,Питание,3800.00,"Семейный заказ готовой еды (пицца, суши) на выходные",Семья
04.06.2026,Ремонт,6200.00,"Замена тормозных колодок,передние и задние","Техника, Автомобиль"
25.05.2026,Электроника,75000.00,"Ноутбук для работы модель с процессором i7, 16 ГБ ОЗУ",Техника
10.05.2026,Обувь,6500.00,Покупка демисезонных кожаных ботинок,Одежда
13.03.2026,Обувь,9000.00,Зимние ботинки. Утеплённые ботинки на зиму,Одежда
27.02.2026,Аудиотехника,8500.00,"Наушники беспроводные шумоподавление, до 30 часов работы",Техника
22.02.2026,Проживание,28000.00,Отель в Сочи 7 ночей в отеле 4*,Путешествие
07.02.2026,Транспорт,12000.00,Авиабилет Москва-Сочи туда и обратно на двоих,Путешествие
06.11.2025,Электроника,12500.00,Приобретение портативной Bluetooth-колонки для дачи,Техника
01.11.2025,Проживание,18000.00,Бронирование двухместного номера в гостевом доме на 3 ночи,Путешествие
10.10.2025,Образование,8500.00,Оплата онлайн-курса по тайм-менеджменту для себя,Личный
11.07.2025,Аудиотехника,22000.00,Приобретение домашней акустической системы,Техника
22.10.2024,Маркетинг,15000.00,Печать и раздача промофлаеров в ТЦ,Бизнес
15.10.2024,IT-услуги,12000.00,Продление подписки на корпоративный облачный сервис с бэкапом,Бизнес
24.06.2024,Транспорт,9700.00,Покупка авиабилетов туда-обратно на внутренний рейс,Путешествие
